reaction_energy,activation_energy,surface,ab,a,b,reference,url,dataset
-2.80921,-2.80921,BiAu(211) AA,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.80247,-2.80247,GePd3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.79739,-2.79739,AsRu(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.79669,-2.79669,GaRu(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.78717,-2.78717,BiPd(211) AA,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.78594,-2.78594,GePt(211) AA,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.76416,-2.76416,PtIn3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.75734,-2.75734,PtIn3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.75195,-2.75195,PtAg3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.75146,-2.75146,BiPd3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.74533,-2.74533,GaAg3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.7388,-2.7388,InCu3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.71497,-2.71497,SnSn3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.70877,-2.70877,GaAu3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.70707,-2.70707,PdGa3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.70122,-2.70122,SbPt(211) AA,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.68842,-2.68842,PdSn3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.66626,-2.66626,AsAg3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.65008,-2.65008,SnCu3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.64324,-2.64324,PtCd3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.62854,-2.62854,ZnPd(211) AA,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.62248,-2.62248,PdAg3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
